gtip_kodu,gtip_tanimi
851821000000,Kabinine monte edilmiş tek hoparlörler
851822000000,Ayni kabine monte edilmiş birden fazla hoparlörler
851829950000,Diğer çeşit diğer hoparlörler kabinlerine monte edilmiş/edilmemiş
851830951000,"Sivil hava taşıtları için kulaklıklar,bir mikrofon ve bir/daha fazla hoparlör içeren setler"
851830959000,Diğer kulaklıklar ve bir mikrofon ve bir veya daha fazla hoparlör içeren diğer setler
851989000000,Ses kaydetme veya kaydedilen sesi tekrar vermeye mahsus diğer cihazlar
852190000000,Diğer video kayıt ve gösterme cihazları
852351100000,"Yarı iletken mesnetler, katı hal kalıcı depolama aygıtlar (kayıt yapılmamış)"
852352009000,Sesleri ve diğer fenomenleri kaydetmeye mahsus yarı iletken diğer akıllı kartlar
852580190011,Yalnız görüntü veren diğer televizyon kameraları
852580190012,Hem ses hem görüntü veren diğer televizyon kameraları
852580910000,Sadece televizyon kameralarının aldığı ses ve görüntüleri kaydedebilen kameralar
852580990000,Görüntü kaydedici diğer kameralar
852610000012,Meteorolojik radarlar
852610000019,Diğer radarlar
852691800013,Uydu seyrüsefer telsiz alıcıları
852691800019,Diğer telsiz seyrüsefer yardımcı cihazları
852692002000,"Uzaktan kumanda etmeye mahsus telsiz cihazları, sivil hava taşıtlarında kullanılmaya mahsus olanlar"
852692009014,"Uzaktan kumanda etmeye mahsus telsiz cihazları, diğerleri, kablosuz ateşleme/tetikleme sistemleri"
852692009019,"Uzaktan kumanda etmeye mahsus telsiz cihazları, diğerleri (kablosuz ateşleme/tetikleme sistemleri hariç)"
852721200000,"Motorlu taşıtlar için lazer okuma sistemli radyo teyp; Numerik Radyo Data sinyal alan ve çözen,harici güç kaynaklı"
852852100000,Sadece veya esas itibariyle 84.71 pozisyonunda yer alan otomatik bilgi işlem makinalarında kullanılan diğer monitörler
852852910000,LCD monitörler; 84.71 pozisyonundaki otomatik bilgi işlem makinaları ile kullanılmak üzere tasarlanmış
852859000000,Diğer monitörler
852862000000,Projektörler; 84.71 pozisyonundaki otomatik bilgi işlem makinaları ile kullanılmak üzere tasarlanmış
852871910000,"Diğer tv alıcıları; internet, interaktif bilgi değişim fonksiyonlu, mikro-işlemci esaslı aygıtı olan"
852910809000,Diğerleri için anten filtreleri ve separatörler
852910959019,Antenlere ait diğer aksam ve parçalar
852990659000,"Radyo, televizyon, radar cihazları vb cihazların birleştirilmiş elektronik aksam ve parçaları"
852990920000,"Diğer televizyon kamerası, monitör,projektör,TV alıcı cihazları,radyo yayınları alıcı cihazlarının diğer aksam - parçası"
853110300019,Binalar için hırsızlığa ve yangına karşı alarm vb. cihazlar
853400110019,Bağlantı elemanı ve iletken yolu olan diğer baskılı devre
853400190011,Bağlantı elemanı ve iletken yolu olan diğer çeşit elastiki baskılı devre
853400190019,Bağlantı elemanı ve iletken yolu olan diğer çeşit diğer baskılı devre
853400900019,Diğer pasif elemanlı diğer baskı devreler
854110000019,Diğer diyodlar (ışığa duyarlı veya ışık yayan diyodlar (LED) hariç)
854129000012,Bacakları takılmış transistörler (güç>1 W.) (ışığa duyarlı transistörler hariç)
854129000019,Diğer transistörler (güç >1 W.) (ışığa duyarlı transistörler hariç)
854140100000,Işık yayan diyodlar (LED) (Lazer diyodlar dahil)
854140900012,"Fotodiyodlar, fototransistörler, fototristörler veya optik bağlaçlar (fotocouples)"
854140900015,Işığa duyarlı yarı iletken fotovoltaik (solar) hücreler
854140900019,Işığa duyarlı yarı iletken diğer tertibat
854160000011,Kristal ve seramikten filtreler
854160000019,Diğer monte edilmiş piezo elektrik kristaller
854231110000,Çok komponentli elektronik entegre devreli işlemciler ve kontrolörler(MCO);faslın 9 (b) (3 ve 4) nolu notunda belirtilen
854231190000,Elektronik entegre devreli diğer işlemciler ve kontrolörler; bu faslın 9 (b) (3 ve 4) nolu notunda belirtilmiş olan
854231900000,Elektronik diğer entegre devreler ve diğer işlemci ve kontrolörler
854232190000,Elektronik entegre devreli diğer bellekler; bu faslın 9 (b) (3 ve 4) nolu notunda belirtilmiş olan
854232390000,Bellek; dinamik rastgele erişim ana bellekler (D-RAM'lar) (bellek kapasite: >512 Mbit)
854232610000,"Bellek; elektrikle silinebilen, programlanan, sadece okunabilen (E2PROM'lar) (bellek kapasitesi: <512 Mbit)"
854232690000,"Bellek; elektrikle silinebilen, programlanan, sadece okunabilen (E2PROM'lar) (bellek kapasitesi: >512 Mbit)"
854232900000,Bellek; diğerleri
854233900000,Elektronik entegre devreli diğer yükselteçler
854239110000,Çok komponentli elektronik diğer entegre devreler (MCO); bu faslın 9 (b) (3 ve 4) nolu notunda belirtilmiş olanlar
854239190000,Elektronik diğer entegre devreler; bu faslın 9 (b) (3 ve 4) nolu notunda belirtilmiş olanlar
854239900000,Diğer entegre devreleri
900190009100,"Diğer kullanım için camdan mercekler, aynalar, prizmalar, optik elemanlar"
900190009900,"Diğer kullanım için diğer maddelerden mercekler, aynalar, prizmalar, optik elemanlar"
900219009000,Diğer optik cihazların diğer madde objektif mercekleri
900290001100,"Sivil hava taşıtları için diğer amaçlı kamera, projektör vb. camdan diğer elemanları"
900290009100,"Diğer kullanım için için diğer amaçlı kamera, projektör vb. camdan diğer elemanları"
900510000000,Çift gözlü dürbünler
901210900011,Diğer elektron mikroskopları ve proton mikroskoplar
901310900019,"Diğer teleskoplar, teleskopik cihazlar"
901320000090,Lazerler (lazer diyodları hariç); silahlar için olanlar hariç
901420201900,Diğer kullanımlar için düşük sürati gösteren elektrikli/elektronik alet ve cihazlar
901420209900,Diğer kullanımlar için düşük sürati gösteren diğer alet ve cihazlar
901420801000,"Diğer havacılık, uzay yolculukları için (elektrikli/elektronik) sistem"
901480001000,"Akustik ve ultrasonik iskandil aletleri, ultrasonik detektör"
901480009011,Deniz ve nehir seyahatleri için elektronik alet ve cihazlar
901480009019,Diğer seyrüsefer alet ve cihazları
901490009900,Diğer seyrüsefer alet ve cihazların aksam ve parçaları
901580200019,Hidrolojiye ait elektronik alet ve cihazlar
901580801000,Oşinografi için elektrikli diğer alet ve cihazlar
901590001019,"Elektrikli/elektronik arazi ölçme,hidrografi,oşinografi,hidroloji, jeofizik alet ve cihazlarının aksam, parça, aksesuarı"
901590009000,"Arazi ölçme, hidrografi, oşinografi, hidroloji, jeofizik, meteoroloji alet ve cihazlarının diğer aksam, parça, aksesuarı"
901730001000,"Elektrikli veya elektronik mikrometreler, kalibreler ve mikyaslar"
901730009000,"Mikrometreler, kalibreler ve mikyaslar; elektrikli veya elektronik olanlar hariç"
901811000000,Elektrokardiyograflar (EKG)
901812000000,Ultrasonik tetkik cihazları
901813000000,Manyetik rezonansla görüntüleme cihazları
901819100000,İki/daha fazla parametrenin eşzamanlı olarak takibi için izleme tertibatı
901819900011,Elektroensefaloğraf cihazları (EEG)
901819900019,Diğer elektro teşhis cihazları
902140000000,İşitme cihazları
902150000011,Dahili kalp pilleri
902190100000,"İşitme cihazlarının aksam, parça, aksesuarı"
902214000000,"Tıbbi, cerrahi veya veterinerlik amaçlı X ışınlı cihazlar"
902219000000,Diğer X ışınlı cihazlar
902290200000,X-Işını kullanarak çalışan aletlere ait aksam parça ve aksesuar
902519201100,Sivil hava taşıtları için elektronik termometre
902519201911,Diğer kullanım için kayıt edici tertibatı olan elektronik termometreler
902519201919,Diğer kullanım için kayıt edici tertibatı olmayan elektronik termometreler
902519802100,Sivil hava taşıtları için diğer termometre
902519802219,Kayıt edici tertibatı olmayan elektrikli termometreler
902519802900,Diğer termometreler
902610219000,Diğer kullanım için elektronik debimetreler
902610291000,Sivil hava taşıtları için sıvıların akışını/seviyesini ölçmeye mahsus diğer elektronik cihazlar
902620201000,Sivil hava taşıtları için basınç ölçmeye/kontrol etmeye mahsus elektronik cihazlar
902620209000,Diğer kullanım için basınç ölçmeye/kontrol etmeye mahsus elektronik cihazlar
902620801000,Sivil hava taşıtları için basınç ölçmeye/kontrol etmeye mahsus diğer cihazlar
902620802000,Sıvı ve gazlar için basınç kontrol anahtarları; sivil hava taşıtlarında kullanılmaya mahsus olanlar HARİÇ
902620808000,Sıvı ve gazlar için basınç ölçmeye veya kontrol etmeye mahsus diğer cihazlar;sivil hava taşıtlarında kullanılanlar HARİÇ
902710100000,Elektronik gaz/duman analiz cihazları
902710900000,Diğer gaz ve duman analiz cihazları
902720000000,Kromatograflar ve elektroforez cihazları
902730000011,Spektrometreler
902750000000,"Optik ışınlı diğer alet ve cihazlar (uv, görülebilir ışınlar, ır)"
902780110000,"Elektronik ph metreler, rh metreler ve iletkenliği ölçen diğer aletler"
902780170000,"Optik ışınlı alet ve cihazlar, elektronik, diğer"
902780990000,Fiziksel ve kimyasal analiz için diğer alet ve cihazlar
902790500000,"Kromatograf, elektroforez, yüzey gerilimi, genleşme vb.özellikleri ölçen alet, cihazl.aks."
902790800000,"Fiziksel ve kimyasal analiz cihazlarının aksam, parça ve aksesuar"
902910002000,"Elektronik veya elektrikli olan devir adedi sayaçları, üretim sayaçları, taksimetreler, milometreler , pedometreler vb"
902920311000,Taşıtlar için elektronik/elektrikli hız göstergeleri
902920389000,Diğer hız göstergeleri ve takometreler
903033309000,"Gerilim/akım/güç ölçmeye/muayene etmeye mahsus elektronik diğer alet, cihazlar; sivil hava taşıtların için olanlar HARİÇ"
903082000000,"Yarı iletken disklerin, tertibatın ölçülmesine, kontrolüne mahsus cihazlar"
903090009000,"Elektrik miktarını ölçme, iyonlaşma ışınlarını tespit eden alet ve cihazların diğer aksam, parçaları"
903120001000,Elektronik/elektrikli deney standları
903149900000,Diğer optik alet ve cihazlar
903180809000,"Diğer ölçme veya muayene alet, cihaz ve makinalarının diğerleri"
903220001000,Sivil hava taşıtları için basınç kontrol cihazları (manostatlar);
903220009011,Diğer kullanım için elektronik basınç kontrol cihazları
903220009019,Diğer kullanım için diğer basınç kontrol cihazları
903281001000,Sivil hava taşıtları için hidrolik veya pnömatik alet ve cihazlar
903281009011,Hidrolik veya pnömatik seviye kontrol cihazları
903281009012,Hidrolik veya pnömatik bacalardan otomatik olarak duman çekme regülatörleri
903281009019,Hidrolik veya pnömatik diğer alet ve cihazlar
903289000000,Diğer alet ve cihazlar
910221000000,Kol saati; otomatik kurmalı olan diğerleri
950450000000,Eğlence merkezleri için video oyun konsolları ve makineleri (9504.30 alt pozisyonundakiler hariç)
841451002000,"Evde kullanılan kendinden elektrik motorlu masa, yer, duvar, pencere, tavan veya çatı fan; gücü 125 W.ı geçmeyen"
850110100000,Senkron motorlar; gücü <=18 W
850110939000,"Diğer alternatif akım (AC) motorları; güç =< 37, 5 W."
850110999000,"Diğer doğru akım (DC) motorları; güç =< 37, 5 W"
850120009000,"Diğer kullanım için üniversal alternatif akım/doğru (AC/DC) motorları; güç > 37, 5 W"
850131001011,Sivil hava taşıtları için diğer doğru akım (DC) motorları; 37.5 W < güç =< 750 W
850131009011,Diğer kullanım için doğru akım (DC) motorları; 37.5 W < güç =< 750 W
850140202900,Diğer kullanım için alternatif akım motorları (AC) (tek fazlı); güç <= 37.5 W
850140801100,"Alternatif akım motorları (AC) (tek fazlı); 750 W < güç < 7, 5 kW"
850152209000,"Diğer yerlerde kullanılan çok fazlı alternatif akım (AC) motorları; 750 W < güç =< 7,5 kW"
850162009300,Diğer kullanım için alternatif akım (AC) jeneratörleri;100 kVA
850239801100,Diğer kullanım için diğer elektrojen grupları; güç < 100 kVA
850239801300,Diğer kullanım için diğer elektrojen grupları; güç > 100 kVA
850440301011,Kesintisiz güç kaynakları (güç kaynağı üniteleri otomatik bilgi işlem makineleriyle kullanılacak olan)
850440301019,Diğer güç kaynakları (güç kaynağı üniteleri otomatik bilgi işlem makineleriyle kullanılacak olan)
850440302000,"Sivil hava taşıtları için telekomünikasyon cihazı, otomatik bilgi işlem makinaları vb. için kullanılan statik konvertör"
850440309000,"Diğer kullanım için telekomünikasyon cihazı, otomatik bilgi işlem makinası vb. için kullanılan statik konvertör"
850440551000,Sivil hava taşıtları için akümülatör şarj ediciler
850440559000,Diğer kullanım için akümülatör şarj ediciler
850440829000,Diğer kullanım için redresörler
850440841000,"Sivil hava taşıtları için invertörler; güç =<7, 5kVA"
850440849000,"Diğer kullanım için invertörler; güç =<7, 5kVA"
850440889000,"Diğer kullanım için invertörler; güç >7, 5kVA"
850440901000,Sivil hava taşıtları için diğer statik konvertörler
850440909011,Kesintisiz diğer güç kaynakları (sivil hava taşıtlarında kullanılanlar HARİÇ)
850440909019,Diğer statik konvertörler (sivil hava taşıtlarında kullanılanlar HARİÇ)
850520000000,"Elektromanyetik kaplinler, kavramalar ve frenler"
850650100000,Lityumlu silindirik piller
850650900000,Lityumlu diğer piller
850720800000,Kurşun-asitli diğer akümülatörler
850750000000,Nikel-metal hidrürlü elektrik akümülatörleri
850760000000,Lityum iyonlu elektrik akümülatörleri
850790800000,Akümülatörlerin diğer aksam ve parçaları *
850811000011,"Kendinden elektrikli vakumlu süpürge; gücü =<1500 Wat, toz torbasına sahip veya toplama kapasitesi=<20 lt, gerilim>=110V"
851020000011,Elektrikli saç kesme makineleri
851030000000,Elektrikli epilasyon cihazları
851220000012,Her türlü farlar (monoblok farlar hariç)
851521000000,Metallere rezistans kaynağı için tamamen/kısmen otomatik cihazlar
851650000000,Mikro dalgalı fırınlar
851680200011,Taşıtlarda kullanılan elektrikli ısıtıcı rezistanslar; izole edici bir mesnet üzerine monte edilmiş
851680800011,Taşıtlarda kullanılan elektrikli ısıtıcı diğer rezistanslar
853010000000,Demiryolları/tramvaylar için sinyalizasyon vb. kumanda cihazları
853080000011,"Liman, hava meydan trafik kontrol kumanda cihazları"
853120200000,Gösterge tabloları; ışık veren diyod tertibatlı olanlar (LED)
853190000000,Elektrikli ses veya görüntülü işaret cihazlarının aksam ve parçaları
853224000000,Seramik dielektrikli sabit kondansatörler (çok katlı)
853229000019,Diğer sabit kondansatörler
853321000019,Bağlantı bacakları olmayan diğer sabit rezistans güç kapasitesi=<20 w.
853530900012,"Yük ayırıcıları (gerilim=>72, 5 kV)"
853620900019,Diğer otomatik devre kesiciler (akım >63 amp.)
853630100000,Elektrik devrelerini koruyan diğer teçhizat (akım<16 amp.)
853641900000,"Röleler (anma gerilimi =< 60 v, anma akımı >2 amp.)"
853649000011,"Kontaktörler; anma akımı 170 A.i (anma gücü AC 3, 380 V.da 90 kW.ı) geçmeyen"
853649000029,Diğer çeşit röleler
853650050000,Bir transistor ve lojik cip iihtiva eden elektronik anahtarlar (chip-on chip technology)
853650110000,Basma düğmeli diğer anahtarlar (anma gerilimi=<60 v.)
853650190000,Diğer elektrik anahtar (anma gerilimi =< 60 v.)
853650800018,Gerilimi 1000 voltu geçmeyen elektrik devrelerinin anahtarlanması için diğer elektrik teçhizatı
853669300000,Baskı devreler için bağlantı ve irtibat elemanları
853669900018,Diğer çeşit fişler ve soketler
853670001000,"Plastikten konektörler; optik lifler, optik lif demetleri veya kabloları için"
853670002000,"Seramikten konektörler; optik lifler, optik lif demetleri veya kabloları için"
853670003000,"Bakırdan konektörler; optik lifler, optik lif demetleri veya kabloları için"
853670005000,"Demir veya çelikten konektörler; optik lifler, optik lif demetleri veya kabloları için"
853690100000,Tel ve kablolar için bağlantı ve irtibat elemanları
853710910000,Programlanabilir hafızalı kumanda cihazı (gerilim=<1000 v.)
853710950000,"Dokunmatik veri giriş cihazları (touch screen); algılayan, bir cihaza takılmak için tasarlanmış, gerilimi <= 1000 volt"
853710980019,"Elektriğin kontrol/dağıtımına mahsus diğer panolar, konsollar, masalar, kabinler ve diğer mesnetler (gerilim =< 1000 v.)"
853890910000,Diğer birleştirilmiş elektronik aksam ve parçaları
853890990012,"Otomatik devre kesicilerin (gerilim =<72, 5 kv.) vakum tüpleri (8535.21 için)"
853890990039,Diğer elektirk devresi teçhizatı aksam ve parçaları
853931900019,Sıcak katodlu diğer flüoresan ampuller
853950000000,LED ampuller
854320000000,Sinyal jeneratörleri
854370900012,Yüksek frekans (RF) veya ara frekans (IF) yükselteçleri
854370900013,Ses birleştirme üniteleri
854370900015,Infrared ile çalışan uzaktan kumanda cihazları (remote control)
854370900019,Kendine has fonksiyonlu elektrikli diğer makine ve cihazlar
854442900000,Bağlantı parçaları takılmış olan (gerilimi:<1000 V.) diğer elektrik iletkenleri; diğer yerde kullanılan *
854449931919,"Diğer elektrik iletkenleri (diğer, gerilimi<=80 V. için)"
854449991919,"Diğer , gerilimi 1000V olan elektrik iletkenleri;diğerleri"
854511000011,Ark ocağı için elektrotlar; fırınlarda kullanılmaya mahsus
854511000019,Fırınlarda kullanılan diğer elektrotlar
854890909000,Diğer makine ve cihazların elektrikli diğer aksam ve parçaları
900110101000,Camdan görüntü iletici kablolar
900110909900,"Optik tarzda işlenmiş olan diğer maddelerden optik lifler, optik Iif demetleri ve kabloları"
940510985000,Diğer çeşit ampul ve tüp kullanımı için adi metallerden aydınlatma cihazı
940540100000,Projektörler
940540390000,Plastikten diğer çeşit diğer elektrikli aydınlatma cihazları
731512000011,Demir/çelikten diğer transmisyon zincirleri
840681000000,"Buhar türbinleri; deniz taşıtları dışında kullanılan, Güç>40MW"
840690900000,Buhar türbinlerine ait diğer aksam; parçalar
840810890000,Kullanılmamış diğer deniz taşıtlarının diz.motoru; 1000 kW
840820310000,Tarım ve ormancılıkta kullanılan traktörler için dizel motor; güç=< 50 kW
840820350000,Tarım ve ormancılıkta kullanılan traktörler için dizel motor; 50 kW
840820370000,Tarım ve ormancılıkta kullanılan traktörler için dizel motor; güç>100 kW
840890479000,Diğer taşıtlar için dizel yeni motorlar; 50 kW
840890619000,Diğer taşıtlar için dizel yeni motorlar; 100 kW
840890679000,Diğer taşıtlar için dizel yeni motorlar; 300 kW
840890819000,Diğer taşıtlar için dizel yeni motorlar; 500 kW
840890859000,Diğer taşıtlar için dizel yeni motorlar; 1000 kW
841013000000,"Su türbinleri, su çarkları; güç>10000 kW"
841181001000,Sivil hava taşıtları için diğer gaz türbinleri (itici güç =< 5000 kW)
841199001000,Sivil hava taşıtları için gaz türbinlerine ait aksam; parçalar
841320009000,Diğer yerlerde elle kullanılan sıvı pompalar
841330209000,Diğer yerlerde kullanılan içten yanmalı motorlar için enjeksiyon pompaları
841330809000,Diğer yerlerde kullanılan içten yanmalı motorlara ait diğer yakıt/soğutma pompaları
841360209000,Diğer yerlerde kullanılan döner deplasmanlı hidrolik pompalar
841360619000,"Diğer yerlerde kullanılan diğer döner deplasmanlı kanatlı, hidrolik yağ pompaları"
841370309000,Diğer yerlerde kullanılan ısıtmada/sıcak su temininde kullanılan salmastrasız çarklı pompaları
841370519000,"Diğer yerlerde kullanılan tek kademeli, çarkı tek girişli, yekpare gövdeli,radyal akışlı pompa; çıkış ağzı çapı>15 mm."
841370599000,"Diğer yerlerde kullanılan tek kademeli, çarkı tek girişli, diğer gövdeli,radyal akışlı pompalar; çıkış ağzı çapı>15 mm."
841370759000,"Diğer yerlerde kullanılan çok kademeli,radyal akışlı pompalar; çıkış ağzı çapı>15 mm."
841410259000,"Diğer yerlerde kullanılan döner pistonlu, kayar kanatlı döner, moleküler ve ruts tipi pompa"
841410899000,Diğer kullanım için diğer vakum pompaları *
841430209000,"Diğer yerlerde kullanılan soğutma cihazları için kompresör; gücü =<0, 4 kW"
841430819000,"Diğer yerler için soğutma cihazlarında kullanılan hermatik/yarı hermetik kompresör; gücü > 0, 4 kW"
841430899000,"Diğer yerler için soğutma cihazlarında kullanılan diğer kompresör; gücü > 0,4 kW"
841459259000,Diğer yerlerde kullanılan eksenel (aksiyal) fanlar
841459359000,Diğer yerlerde kullanılan santrifüjlü fanlar
841480119000,Diğer yerlerde kullanılan tek kademeli turbo kompresör
841480199000,Diğer yerlerde kullanılan çok kademeli turbo kompresör
841480229000,"Diğer yerlerde kullanılan pistonlu kompresör; monometre basıncı =<15 bar, debisi =< 60 m3/h"
841510900011,"Klima; pencere/duvar/tavan/zemine sabitlenecek, tek bir gövde, ayrı elemanlı(split-sistem), değişken debili (VRF)"
841520000000,Motorlu taşıtlarda şahıslar için kullanılan türden klimalar *
841582009000,Diğer yerler için soğutma üniteli klimalar
841590009002,Klima cihazı split sistemlerinin dış üniteleri (değişken debili (VRF)) (sivil hava taşıtlarında kullanılanlar HARİÇ)
841590009012,Split sistemlerin iç üniteleri (klima cihazlarının) (sivil hava taşıtlarında kullanılanlar hariç)
841590009019,Klima cihazlarının diğer aksam ve parçalar (sivil hava taşıtlarında kullanılanlar hariç)
841780300000,Seramik ürünlerin fırınlanmasına mahsus fırınlar ve ocaklar; elektriksiz
841869001000,Kondenserleri ısı değiştiricisi fonksiyonu gören kompresörlü üniteler
841869009919,Diğer soğutucu veya dondurucu cihazlar *
841932000000,"Ağaç, kağıt hamuru, kağıt/kartonlar için kurutucular"
841950800000,Isı değiştiricilerin (eşanjörler) diğerleri
841960000000,Hava/diğer gazları sıvılaştırmaya mahsus makineler
841981200011,Kahve ve diğer sıcak içecekleri yapmaya mahsus perkolatör ve diğer elektrikli cihazlar
841989989019,"Isı değişikliği yoluyla maddelerin işlenmesi için diğer makine, tesis ve cihazlar"
842129800011,Sıvıların filtre edilmesine veya arıtılmasına mahsus diyalizörler
842139251000,Sivil hava taşıtları için havanın filtre edilmesi/arıtılması için makina ve cihazlar
842139351000,Sivil hava taşıtları için katalitik işlem esaslı diğer gazların filtre edilmesi/arıtılması için makina ve cihazlar
842139359000,Diğer yerler için katalitik işlem esaslı diğer gazların filtre edilmesi/arıtılması için makina ve cihazlar
842139851000,Gazların filtre edilmesi veya arıtılmasına mahsus diğer makine ve cihazlar; sivil hava taşıtları için
842139859000,Gazların filtre edilmesi veya arıtılmasına mahsus diğer makine ve cihazlar
842199900019,Santrifüjler ile sıvıların/gazların fiItre edilmesine/arıtılmasına mahsus makina ve cihazlarin diğer aksam ve parçaları
842230000000,"Şişe, kutu, çuval vb. doldurma, kapama, mühürleme, etiketleme, kapsülleme, içecekleri gazlandırma makineleri"
842240000000,Diğer paketleme veya ambalajlama makinaları (ısı ile büzerek ambalajlamaya mahsus makinalar dahil)
842290900011,Diğer paketleme/ambalajlama makinelerine ait aksam ve parçalar
842410000000,Yangın söndürme cihazları (doldurulmuş olsun olmasın)
842641009000,Lastik tekerlekli kendinden hareketli diğer makine ve cihazlar
842710100000,Elektrik motorlu kendinden hareketli forklift ve diğer yük arabaları; kaldırma yüksekliği=>1 m.
842710900000,Elektrik motorlu kendinden hareketli forklift ve diğer yük arabaları; kaldırma yüksekliği<1 m.
842720190000,Kendinden hareketli diğer forklift ve yük arabaları; kaldırma yükseklik=>1 m.
842810209011,İnsan taşıma için elektrikli asansör ve skipli yük kaldırıcıları
842839909000,Diğer kullanımlar için diğer sürekli hareketli diğer elevatör ve konveyörler
842840000000,Yürüyen merdiven ve yürüyen platformlar
842860000000,"Teleferikler, telesiyejler ve teleskiler; fünikülerler için çekiş mekanizmaları"
842890710000,Zirai traktörlere takılmak için özel imal edilmiş yükleyici
842890909000,Sivil hava taşıtlarında kullanılmayan diğer kaldırma vb.makina ve cihazlar
842930000000,Skreyperler
842952100000,Kulesi 360 derece dönebilen ekskavatörler
843351000021,"Biçer döverler; kendinden hareketli, biçme ağzı genişliği 2 m'yi geçen"
843359110000,Kendinden hareketli silaj makineleri
843359850011,Pamuk hasat makinaları; kendinden hareketli
843360000011,Meyve ve sebzeleri ağırlık ve büyüklüklerine göre ayıran makine ve cihazlar
843920000000,Kağıt/karton imaline mahsus makine ve cihazlar
844110709000,Kağıt kesme makinaları; fotoğrafçılık duşında kullanılanlar
844140000000,"Kağıt hamuru, kağıt/kartondan kalıpla eşya imaline mahsus makineler"
844180000019,"Kağıt hamuru, kağıt, karton işleyen diğer makine ve cihazlar"
844399100000,"Baskı makinasının birleştirilmiş elektronik aksam, parçası"
844399909000,"Diğer maddeler üzerine baskı yapan makinanın diğer maddelerden aksam, parçası"
844400100000,"Dokumalık, sentetik/suni lif ekstrüzyonu için makine ve cihazlar"
844400900000,"Dokumalık maddeler için tekstüre, çekme, kesme makine ve cihazları"
844511000000,Dokumalık elyafın hazırlanması için karde makineleri (tarak makineleri)
844512000000,Dokumalık elyafın hazırlanması için tarama makineleri (penyöz)
844513000000,"Şerit halindeki lifleri uzatan, büken ve iplik taslağı haline getiren makineler"
844519009019,Dokumaya elverişli elyafın hazırlanmasına mahsus diğer makineler
844520000011,Open - end eğirme makinaları
844520000012,Ring eğirme makineleri
844520000019,Dokumaya elverişli lifleri eğirmeye mahsus diğer makineler
844530000000,Dokumaya elverişli lifleri katlama veya bükmeye mahsus makinalar
844540000019,Dokumaya elverişli lifleri bobinleme ve çilelemeye mahsus diğer makineler
844621000000,"Dokuma makinesi (tezgahlar); motorlu, mekikli, kumaş genişliği>30cm."
844630000000,"Dokuma makineleri (tezgahlar); mekiksiz, kumaş genişliği> 30 cm."
844711000012,Sanayi tipi yuvarlak (dairevi) örgü makinaları; silindir çapı<=165mm
844712000012,Sanayi tipi yuvarlak (dairevi) örgü makinaları; silindir çapı>165mm
844720200012,Sanayi tipi düz örgü makineleri
844720800000,Diğer çözgülü örgü makineleri
844790000011,İşleme makineleri
844790000019,"İplik ,tül,dantela,file,püskül,ponpon imaline mahsus diğer makina ve cihazlar"
844851900011,Örgü makinelerine ait iğneler
844859000019,"Örgü, dikiş, trikotaj makinelerinde kullanılan diğer aksam; parçalar"
844900001000,"Şekilli/parça halinde keçe/dokunmamış mens.imal, finisaj makineleri, keçeden şapka imaline mahsus mak., şapka kalıpları"
845210190000,"Ev tipi dikiş makineleri,sadece düz dikiş yapan motorlu, motorsuz ve başları; diğerleri"
845221000000,Otomatik üniteli dikiş makineleri
845229000000,Diğer dikiş makineleri
845521000012,Bandaj ve vagon tekerleklerine mahsus hadde makineleri(Sıcak ve kombine haldeki sıcak ve soğuk hadde)
845522000000,Soğuk hadde makineleri
845710100000,Metal işlemeye mahsus yatay işleme merkezleri
845710900000,Metal işlemeye mahsus diğer işleme merkezleri
845730100000,Nümerik kontrollü çok istasyonlu transfer tezgahları
845811200000,Nümerik kontrollü yatay tornalama merkezleri
845811410000,Nümerik kontrollü tek milli otomatik yatay torna tezgahları
845811800019,"Nümerik kontrollü, metal işlemeye mahsus yatay diğer metal işleyen torna tezgahları"
845891800000,Nümerik kontrollü diğer torna tezgahları
846210100019,Nümerik kontrollü kalıpta dövme tezgahları ve çekiçleri
846693600000,"84.56 ila 84.61 pozisyonlarındaki diğer makinalara ait aksam, parça ve aksesuar"
846729200000,Harici bir güç kaynağı olmaksızın çalışabilen kendinden elektrik motorlu diğer el aletleri
846729510000,Elle kullanılan köşe taşlayıcılar (Kendinden elektrik motorlu)
846729850000,Harici bir güç kaynağı ile çalışan kendinden elektrik motorlu diğer el aletleri
846781000000,Zincirli testereler
847050000011,Yazar kasalar (satış noktası terminalleri-POS makinaları)
847050000019,Yazar kasalar (diğerleri)
847710000000,Enjeksiyon makinaları; kauçuk/plastik eşya işlemeye veya imaline mahsus
847910000019,"Bayındırlık, inşaat vb. işlerde kullanılan diğer makine ve cihazlar"
847930900000,Ağaç/mantar işlemeye mahsus diğer makine ve cihazlar
847950000000,Sınai robotlar
847982000000,"Karıştırma, yoğurma, kırma, öğütme, homojenleştirme vb. makineleri"
847989300000,Hidrolik maden direkleri (hareketli)
848120900000,Pnömatik güç transmisyon kontrol valfları
848180400000,Pnömatik tekerlek ve iç lastik için valflar
848180590000,Diğer process kontrol valfları
848180630000,Çelikten sürgülü valflar
848180730000,Çelikten globe (stop) valflar
848180790000,Diğer maddelerden globe (stop) valflar
848180870000,Diyafram valflar
848180990019,"Borular, kazanlar, tanklar, depolar vb diğer kaplar için diğer musluklar, valfler (vanalar) ve benzeri cihazlar"
848210100012,Bilyeli rulmanlar; 9mm
848210900012,Bilyeli rulmanlar; 52mm
